"id","make","model","version","manufacturing_year","engine_hp","engine_cc","fuel_type","battery_kwh","transmission_type","body","driven_wheels","doors_no","passengers_no","km_no","price","currency","price_details","offered_by","vin","dealer_warranty_included","pollution_norm","co2_emissions","tech_state","origin_country","location","county","equipments","description","particulate_filter","ad_url","first_registration_date","registered","owner_no","service_history","color","metallic_paint","date_posted","created","add_date","add_id","category","cc","collection_date","first_owner","gearbox","generation","image","ingest_file_id","vehicle_manufacturer","manufacturer_year","vehicle_model","name","postal_code","registration_date","site_id","source","state","tuning"
"00001018-86f2-4018-8777-0bde21bd3732",\N,\N,"xDrive30i Aut.",\N,"245",\N,"U",\N,"A",\N,\N,"5",\N,"27700","44750.00","EUR","Negociabil, Se emite factura","Firma",\N,\N,"Euro 6",\N,\N,"Germania","WORLD TRADE CENTER, P-TA MONTREAL NR 10, INTRAREA - 011469 Bucuresti, Sectorul 1 (Romania)","Bucuresti","","
        Pret fara TVA : 44.750 Euro

Posibilitate achizitie la PRET NET(inclusiv finantare leasing), pentru persoane juridice
Autoturism disponibil in stoc extern. Termen de livrare 5 zile.
PRETUL INCLUDE TOATE CHELTUIELILE DE IMPORT incl TRANSPORT
 
Andrei Burlacu
Tel:  072 - arata numarul - 
Managing Partner

PLUS AUTOTRADE activează în domeniul auto din anul 2010, fiind in momentul de fata lider pe piața de comenzi automobile noi și rulate – import Germania.
Servicii oferite :
- Posibilitatea achiziției la prețul net fară TVA, exclusiv pentru companii plătitoare de TVA.
- Posibilitatea de leasing fara TVA, creditare externa prin BCR Leasing.
- Pretul poate include cheltuielile de transport si comisionul dealerului.
- Consultanță de specialitate în selectarea modelului ideal, beneficiind de 15 ani de experiență în domeniu!
- Prețuri preferențiale negociate exclusiv cu partenerii noștri internaționali.
- Preaprobarea financiară a dosarului de leasing pe loc!
- Garanție inclusă 12 luni! Posibilitate de extindere a garanției acordate de producător până la 5 ani sau 200.000 km.
- Oferte avantajoase de BUY-BACK pentru autoturismul dumneavoastră.
În plus, la sediul nostru puteți încheia asigurări RCA si CASCO și puteți opta pentru serviciile de înmatriculare provizorie și definitivă!

Posibilitate de finanțare în sistem leasing sau credit cu dobândă incepând de la 3.5%, avans incepând de la 20%, pe o perioadă de la 12 până la 60 de luni, prin partenerii noștri:
- Unicredit leasing
- Idea Leasing
- Tiriac Leasing
- BRD Sogelease
- OTP Leasing
- BT Leasing
- Raiffeisen Leasing
- Impuls Leasing

Echipamente Optionale :

ABS

Adaptive cornering lights

Alarm system

Alloy wheels

Ambient lighting

Arm rest

Autom. dimming interior mirror

Blind spot assist

Bluetooth

Cargo barrier

Central locking

Cruise control

Digital cockpit

Distance warning system

Electric side mirror

Electric tailgate

Electric windows

Emergency brake assist

Emergency call system

ESP

Fatigue warning system

Four wheel drive

Full Service History

Hands-free kit

Head-up display

Heated rear seats

Heated seats

Immobilizer

Integrated music streaming

Isofix

Keyless central locking

Lane change assist

Laser headlights

Leather steering wheel

LED running lights

Light sensor

Lumbar support

Multifunction steering wheel

Navigation system

Non-smoker vehicle

On-board computer

Paddle shifters

Panoramic roof

Power Assisted Steering

Rain sensor

Roof rack

Sound system

Sport seats

Start-stop system

Sunroof

Touchscreen

Traction control

Traffic sign recognition

Tyre pressure monitoring

USB port

Voice control

Warranty

WLAN / WiFi hotspot    ","Da",\N,\N,\N,\N,\N,"Negru",\N,\N,"2023-11-28 03:18:42","2023-03-07","https://www.autovit.ro/anunt/bmw-x3-xdrive30i-aut-ID7H8W1x.html","Autoturisme","1998","2023-03-07",\N,"Automata",\N,"https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1pN3N0dDlpODc0YzItQVVUT1ZJVFJPIiwidyI6W3siZm4iOiJxN216NTNiaWZwemstQVVUT1ZJVFJPIiwicyI6IjE2IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.IyrRnwElp9cZkvhKrZzTQlkh5gr5rVxZtTr1sKsht5k/image;s=732x488",\N,"BMW","2022","X3","BMW X3 xDrive30i Aut.","011469","2021-12-31","7050438099","AUTOVIT","Second hand",\N
"0000205b-915b-5378-a7f4-3daaebece5ff","CITROEN","JUMPER","None","2012","131",\N,"D",\N,"missing","None",\N,\N,\N,"233000","6042.02","NONE","None","None","",\N,"NONE",\N,"NONE","NONE","None","None","None","None","None","None",\N,"NONE",\N,\N,"NONE","NONE","2019-06-02","2021-10-11 14:25:10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"0000335c-9e28-5f64-8be7-b8676ce7dd5d","FORD","RANGER","None","2018","200",\N,"D",\N,"missing","None",\N,\N,\N,"800","31989.90","NONE","None","None","",\N,"NONE",\N,"NONE","NONE","None","None","None","None","None","None",\N,"NONE",\N,\N,"NONE","NONE","2019-06-02","2021-10-11 14:25:10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"00003cdc-e2d8-4369-b653-49fcc02b5025",\N,\N,"2.0 TDI quattro S tronic",\N,"190",\N,"D",\N,"A",\N,\N,"5",\N,"162000","26300.00","EUR","Negociabil","Proprietar",\N,\N,\N,\N,\N,\N,"Cluj-Napoca, Judet Cluj","Cluj","","
        Daylight Led Neon ( Lumina de zi )
-motor 2l 190cp euro6
-162000 km carte service
- Stopuri Ful LED Spate 
- SEMNALIZARI LED
- INTERIOR SPORT 
- Interior sport 
-scaune piele
- Pachet NIKEL exterior ( Toate ornamentele exterioare cromate)
- Portbagaj actionat electric cu SOFT CLOSE
- NAVI MMI PLUS - Navigatie 3D Mare 
- AUDI CONNECT / Smartphone Interface 
- DVD (se pot viziona filme)/ CD/ MP3/2XSD CARD/ 2XUSB/ AUX/ BLUETOOTH, Memorie Interna 84Gb (Redare Video in Mers)
- CARPLAY
-încărcare wireless 
- Keyless Go ( pornire / oprire motor pe buton)
- DRIVE SELECT + (Efficient, Comfort, Dinamic, Auto, Individual) + FUNCTIE ALLROAD
- AUDI PRE SENSE (Franeaza singura in caz de coliziune cu un obstacol)
- Senzori parcare 
- Parking Assist – Masina parcheaza singura 
- Asistenţă coborâre in pantă HDC
- Start / Stop Semafor (consum redus)
- Auto Hold (mentine auto in rampa)
- Sim Telefon cu conexiune de Internet
- PADELE VOLAN
- VOLAN multifunctional inclusiv comenzi vocale
- LUMINI AMBIENTALE IINTERIOR Praguri + Podea. (LED ALB) 
- Pachet Extins de LUMINI AMBIENTALE Exterior, Manere Usi (LED ALB)
- Oglinda Dreapta cu Asistenta la mersul inapoi
- Oglinzi Electrice, Incalzite si Heliomate 
- Private Glass - Geamuri spate duble fumurii ce asigura si comfort termic 
- ISOFIX
- JANTE Aliaj Originale AUDI S-Line R18
- 2 CHEI    ","Da",\N,\N,\N,\N,\N,"Negru",\N,\N,"2023-11-28 06:46:17","2023-05-23","https://www.autovit.ro/anunt/audi-q5-2-0-tdi-quattro-s-tronic-ID7Hc7hV.html","Autoturisme","1968","2023-05-23",\N,"Automata","FY [2016 - Prezent]","https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJmamFkaGwzYXQwaDMtQVVUT1ZJVFJPIiwidyI6W3siZm4iOiJxN216NTNiaWZwemstQVVUT1ZJVFJPIiwicyI6IjE2IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.oSe7jFcTiMoIrUItHN3LdMOntuyN26jTqmjTz6rVC5w/image;s=732x488",\N,"AUDI","2017","Q5","Audi Q5 2.0 TDI quattro S tronic",\N,"2017-05-31","7051200228","AUTOVIT","Second hand",\N
"0000436e-6d91-5502-9a1a-907641bcb632","VOLKSWAGEN","JETTA","1.2 TSI BlueMotion Technology","2011","105","1197","U",\N,"M","Sedan",\N,"4",\N,"107000","7300.00","EUR","Negociabil","Proprietar","",\N,"EURO 5",\N,"SECOND HAND","ROMANIA","Bucuresti, Judet Bucuresti, Sectorul 1","Bucuresti","ABS, CD, Geamuri fata electrice, Servodirectie, Airbag-uri laterale spate, Camera parcare spate, Geamuri cu tenta, Imobilizator electronic, Limitator de viteza, Oglinzi retrovizoare ajustabile electric, Pilot automat, Senzori parcare fata-spate, Airbag-uri frontale, Computer de bord, Inchidere centralizata, Aer conditionat patru zone, Alarma, Controlul tractiunii (ASR), Geamuri laterale spate fumurii, Intrare auxiliara, Lumini de zi (LED), Oglinzi retrovizoare exterioare electrocromatice, Proiectoare ceata, Airbag-uri laterale fata, Controlul stabilitatii (ESP), Radio, Airbag-uri cortina, Bluetooth, DVD, Geamuri spate electrice, Jante din aliaj usor, Navigatie GPS, Oglinzi retrovizoare incalzite, Scaune fata incalzite","JETTA CONFORTLINE foarte dotata stare ca noua nu necesita reparatii este permanent intretinuta si verificata .Sunt primul proprietar , ca si dotari masina vine cu : suspensie indepententa fata  spate , pachet iarna -scaune incalzite, duze incalzite parbriz , spalator faruri , cotiera fata  reglabila lungime inaltime , priza 22o V cotiera , sistem Navigatie Android si camera  fata spate + senzori parcare fata spate , radar viteza si detectarea  distantei  masinilor fata, alarma Viper, al doilea rand de roti Iarna ( Cauciucuri premium :  MichelinAlpin 6 Iarna- jante tabla Vag 16/ Continental Premium contact 6 Vara-jante aliaj 16 ) .
Accept orice fel de test in service autorizat sau partener Vag.","","None","2011-07-07","DA",\N,\N,"MARO","DA","2021-04-02","2021-10-11 15:48:43",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"000068f1-26b5-5ade-8aea-75eecb8b3ae9","HONDA","ACCORD","None","2008","190",\N,"U",\N,"missing","None",\N,\N,\N,"236000","4957.98","NONE","None","None","",\N,"NONE",\N,"NONE","NONE","None","None","None","None","None","None",\N,"NONE",\N,\N,"NONE","NONE","2018-05-30","2021-10-11 14:25:10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"00006e0c-8367-5ea6-9722-6ab588041fe0","NISSAN","QASHQAI+2","None","2010","150",\N,"D",\N,"missing","None",\N,\N,\N,"187000","6554.62","NONE","None","None","",\N,"NONE",\N,"NONE","NONE","None","None","None","None","None","None",\N,"NONE",\N,\N,"NONE","NONE","2018-07-29","2021-10-11 14:25:10",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"00006f1a-80af-5b23-b73b-c5e95365a335","MERCEDES","VITO","None","2006","163","21433","D",\N,"M","None",\N,"4",\N,"400000","7300.00","EUR","Negociabil","Proprietar","None",\N,"NONE",\N,"SECOND HAND","NONE","Focsani, Judet Vrancea","","","AUTOTURISM

Mercedes Vito 2.2 CDI 150 CP XXL Model Lung

8+1 locuri 

6+1 trepte Manuala

Fabr 10.2005

Clima 
Navigatie
4X Geamuri si oglinzi electrice
Jante aliaj 18"" originale Mercedes Benz
Bari longitudinale
Senzori parcare spate
Folie geamuri omologata RAR
Etc ...

Recent au fost inlocuite consumabilele

Toate taxele la zi, se va elibera fiscal","None","https://www.autovit.ro/anunt/mercedes-benz-vito-ID7HcQcn.html",\N,"DA",\N,\N,"ROSU","NONE","2023-06-18","2023-06-19 18:02:55",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"00007dd3-9f28-5c85-8926-b54629a8489a","MAZDA","CX-5","None","2016","150","2198","D",\N,"A","SUV","None","5",\N,"190000","12500.00","RON","None","Persoana fizica","None","None","NONE","None","NONE","ROMANIA","Miercurea-Ciuc","Harghita","None","DESCRIERE
De vanzare Mazda cx5 an fabricatie 2016, de la proprietar, stare foarte buna, piele, navigatie, pretul este negociabil in limita bunului simt. Pentru pretentiosi, neseriosii sa se abtina.","None","https://www.olx.ro/d/oferta/mazda-cx5-proprietar-IDhEpcX.html",\N,"INMATRICULAT","None","None","ARGINTIU","NONE","2023-10-20","2023-10-26 10:50:50",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"00008cc0-6ffb-5d94-9527-01bb3b623b24","VOLKSWAGEN","CADDY","1.6 Life Style (7-Si.)","2010","102","1598","U",\N,"M","None",\N,"5",\N,"289000","5712.00","EUR","TVA deductibil, Negociabil, Se emite factura","Firma","None",\N,"EURO 4",\N,"SECOND HAND","GERMANIA","Calea Sighisoarei/DN13/E60, Corunca, Romania, nr.3 - 540292 Corunca, Judet Mures (Romania)","","","Vw Caddy 1.6 benzina 7 Locuri !!!  Stare tehnica si estetica foarte buna. Dotari: Klima, Airbag, Servo total, Inchidere Centrala cu chei cu telecomanda, Bord computer, Proiectoare ceata, Oglinzi electrice, CD-player, etc. ...

 ABS (sistem antiblocare)
 Computer de bord
 Cotiera centrala: fata
 Dispozitiv pentru reglarea automata a vitezei Tempomat
 Diverse revopsiri
 ESP (sistem electronic de control al stabilitatii)
 Faruri de ceata
 Geamuri actionate electric: fata
 Geamuri spate fumurii
 Instalatie de climatizare
 Inchidere centralizata cu telecomanda
 Material: albastru/gri
 Numar airbaguri: 4
 Numar scaune: 7
 Oglinda exterioara: reglabil electric
 Radio, CD ( RCD 200 )
 Senzori de parcare (APS - senzori acustici de parcare )
( spate )
 Servodirectie

-Se ofera factura fiscala si toate actele necesare inmaticularii, Certificari fiscale inclusiv consultanta si Nr. provizorii !!!
Se poate plati in Lei curs BT!!!

***Prezenta in stoc, o gama variata de modele Vw Caddy, diferite modele si motorizari incepand cu anul 2005 pana in 2020!!!***
**Finantare !!!**

**Permanent peste 50 de masini in oferta!!!**","None","https://www.autovit.ro/anunt/volkswagen-caddy-1-6-life-style-7-si-ID7HeEDN.html",\N,"NONE","None",\N,"ALBASTRU","NONE",\N,"2023-08-11 18:03:16",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
